user_id,imdb_id,vote_average,timestamp
u1,tt0124102,4,2012-04-21
u1,tt0068677,4,2013-05-03
u1,tt0081455,4,2014-08-23
u10,tt0081455,3,2009-11-04
u10,tt0160484,2,2009-11-29
u10,tt0445620,2,2009-12-06
u10,tt0418141,2,2009-12-14
u10,tt1673430,2,2010-09-29
u10,tt0119715,2,2011-04-04
u11,tt0009932,4,2006-04-29
u11,tt0048449,5,2006-06-14
u11,tt0020142,4,2009-07-26
u11,tt0053849,3,2010-05-27
u11,tt0035980,3,2011-05-15
u11,tt0068677,4,2013-04-17
u11,tt0051074,4,2016-09-05
u12,tt0023847,4,2014-04-25
u12,tt0053849,3,2016-10-05
u12,tt0051074,3,2019-08-23
u12,tt0068677,2,2020-10-10
u13,tt0048449,2,2015-07-08
u13,tt0203725,2,2015-08-16
u13,tt0400517,2,2016-02-18
u14,tt0400063,5,2005-04-17
u14,tt0445620,4,2006-03-25
u14,tt0443456,5,2007-05-12
u15,tt0066214,2,2006-01-28
u15,tt0443456,3,2012-06-13
u15,tt1660302,4,2017-01-07
u2,tt0023847,4,2004-01-21
u2,tt0053849,4,2007-12-04
u2,tt0035980,2,2011-05-01
u2,tt0020142,2,2012-02-23
u2,tt0051074,2,2016-11-18
u3,tt0068677,2,2014-02-03
u3,tt0066214,5,2014-11-06
u3,tt0081455,4,2016-09-20
u4,tt0053849,4,2007-06-20
u4,tt0160484,2,2007-07-11
u4,tt1780983,4,2013-10-18
u5,tt0445620,4,2015-05-11
u5,tt0160484,1,2015-12-16
u5,tt0119715,1,2016-03-23
u6,tt0081455,4,2007-03-05
u6,tt0124102,3,2007-06-09
u6,tt0048449,4,2015-09-22
u7,tt0124102,1,2005-11-15
u7,tt0053849,4,2008-01-23
u7,tt0020142,2,2009-02-12
u8,tt0081455,2,2004-12-29
u8,tt0160484,2,2005-10-31
u8,tt0487037,2,2008-02-02
u9,tt0119715,4,2005-03-04
u9,tt0081455,4,2007-08-29
u9,tt0445620,3,2013-10-09
u9,tt0066214,4,2014-01-17
