item_id,title,release_year
75796,Headhunter,2009
75815,Angels in the Outfield,1994
75822,Eddie and the Cruisers,1983
75828,Ninja Assassin,2009
75867,Orgazmo,1997
75881,Toy Story 2,1999
75903,A Star Is Born,1954
75918,Pretty in Pink,1986
75962,Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn,
75968,An American Werewolf in Paris,1997
75981,The Golden Temple,2012
75984,Fool's Gold,2008
76012,The Exorcist,1973
76019,The War Bride,2001
76023,Flick,2008
76036,National Security,2012
76042,The Vow,2012
76067,Winter's Bone,2010
76069,Love Station,2016
76071,Fight Club – Members Only,2006
76102,IMurders,2008
76111,Pocahontas II: Journey to a New World,1998
76113,Just One of the Guys,1985
76130,Prince,1969
76137,Love Liza,2002
76143,Anomalisa,2015
76145,The Great Gatsby,1926
76160,Million Dollar Baby,2004
76170,Insidious: Chapter 3,2015
76171,The Mummy,
76177,Ride Along 2,2016
76187,The Hills Have Eyes,2006
76195,Dirty Work,1998
76198,North Dallas Forty,1979
76279,Death at a Funeral,2007
76284,The Cowboys,1972
76325,My Scientology Movie,2015
76336,Blackhat,2015
76339,Hereafter,2010
76356,The Parent Trap,1998
76365,Anna and the King,1999
76391,Beware! The Blob,1972
76481,The Exorcist,
76483,Brave,2012
76488,The Royal Scandal,
76508,Chloe,2009
76512,Mississippi Damned,2009
76519,Cloverfield,2008
76524,Okja,
76530,Killers,2010
76620,The Shaggy Dog,1959
76627,No Good Deed,2014
76636,Double Impact,1991
76639,First Kill,2017
76658,Torque,2004
76660,Batman: Revenge,2003
76706,The Incredible Hulk,2008
76724,Red Lines,2014
76746,All the Pretty Horses,2000
76757,Pinocchio,1940
76772,Ouija,2015
76781,White Men Can't Jump,1992
76802,Contagion,2011
76825,Death of a Ghost Hunter,2007
76829,The Sweetest Thing,2002
76845,Good Burger,
76847,Police Story 2,2007
76849,Veronica Mars,2014
76861,Project Almanac,2015
76887,One Piece Film: Strong World,2009
76935,First Sunday,2008
76940,Harry Potter and the Goblet of Fire,2005
77043,Uptown Saturday Night,1974
77045,Christmas in Love,2004
77066,Identity,2003
77115,Jack Reacher,2012
77128,Insidious,
77136,Not Fade Away,2012
77140,The Living Daylights,1987
77141,The Lovely Bones,2009
77154,Flypaper,2011
77161,A Nightmare on Elm Street,1984
77176,Straight to Hell,1987
77190,Lethal Weapon 4,1998
77195,Bee Movie,2007
77216,Beethoven's 2nd,1993
77253,They Look Like People,2015
77267,Fighter in the Wind,2004
77293,A Wrinkle in Time,
77306,Oklahoma,1979
77330,Cleopatra,1970
77352,Harold and Maude,1971
77358,Black Beauty,1994
77363,Encino Man,1992
77376,Full Metal Jacket,1987
77384,American Pie Presents: Band Camp,
77388,Shade,2003
77415,How the West Was Won,1962
77455,Citizen Kane,1941
77478,Yes,2004
77485,Contract,2008
77521,Triangle,2009
77542,Contact,1997
77552,"We, the Women",1953
77576,The Librarians,2001
77597,Along Came Polly,
77609,17 Again,2009
77610,Sky High,2003
77627,Abraham Lincoln: Vampire Hunter,2012
77628,Leprechaun,1993
77636,Fred,2014
77651,Peter Pan,2003
77666,The World's End,2013
77670,Star Trek Into Darkness,2013
77684,Indiana Jones and the Last Crusade,1989
77693,Wolf Creek,2005
77696,The Heist,2008
77697,White House Down,2013
77707,WALL-E,2008
77737,The Humanoid,1979
77747,National Treasure,
77785,Ring 2,1999
77788,Clerks,1994
77793,Prom Night,1980
77798,A Perfect Murder,1998
77806,Stuck on You,2003
77818,Live Free or Die,2006
77866,In Good Company,2004
77867,The Ring,2017
77868,The Expendables,
77888,Four Sisters and a Wedding,2013
77894,Cars 3,2009
77898,Spy Game,2001
77905,Fatal Bond,1992
77910,Strange Wilderness,2008
77918,War Room,2015
77925,Ong-Bak: Muay Thai Warrior,2003
77945,Akira,1988
77946,A Low Down Dirty Shame,1994
77983,Black Mass,2015
77986,The First Power,1990
78010,Death Wish,1974
78019,Kagemusha,1980
78035,The Double Life of Veronique,1991
78058,Wish I Was Here,2014
78062,Robin Hood,1991
78076,Ed Wood,1994
78099,Wood Love,1925
78108,Enemy,2015
78132,Joe Dirt 2: Beautiful Loser,2015
78154,Chiko,2008
78168,Willy Wonka & the Chocolate Factory,1971
78172,The Terminal,2004
78186,Scary Movie,2000
78201,Texas Chainsaw 3D,2013
78207,Run Fatboy Run,2007
78233,The Producers,2005
78241,Halloweentown,
78267,The Room,2003
78326,Billy Elliot,2000
78340,Deadpool,2016
78343,The Ghost and the Darkness,1996
78352,Burglar,1987
78354,Soylent Green,1973
78361,Holy Water,2009
78373,Percy Jackson,
78399,Houseful,2009
78418,The Avengers,2012
78426,Twisted,2004
78436,Battlefield Earth,2000
78445,Valentine,2001
78453,Paprika,2006
78475,Kingdom of Heaven,2005
78479,Murder in the First,1995
78480,The Green Mile,1999
78491,Over the Top,1987
78504,Superman II,1980
78510,The Slammin' Salmon,2009
78531,The Return of the Pink Panther,1975
78559,Much Ado About Nothing,1993
78562,A Time to Kill,1996
78566,The Incredible Invasion,1971
78634,The Host,2013
78639,Criminal,2016
78644,Taxi,2004
78664,Zeitgeist,2007
78665,Resolution,2012
78670,They Live,1988
78673,I Think I Love My Wife,2007
78719,Saturday Night Fever,1977
78766,Snow White and the Seven Dwarfs,1937
78779,Not Another Happy Ending,2013
78799,The In-Laws,1979
78801,The Spy Next Door,2010
78804,The Shaggy Dog,2006
78807,Paparazzi,2004
